Title;Year;Decade;Country;Genre;runtimeMinutes;IMDB;Score;averageRating;numVotes;directors;primaryName
Oculus;2013;2010s;USA;Horror;104;tt2388715;7.5;6.5;114158;nm1093039;Mike Flanagan
Prisoners;2013;2010s;USA;Thriller;153;tt1392214;7.75;8.1;578754;nm0898288;Denis Villeneuve
Stoker;2013;2010s;USA;Thriller;99;tt1682180;7.75;6.8;101784;nm0661791;Chan-wook Park
All is Lost;2013;2010s;USA;Thriller;106;tt2017038;7.75;6.9;74782;nm1170855;J.C. Chandor
Snowpiercer;2013;2010s;South Korea;Politics;126;tt1706620;8.5;7.1;305381;nm0094435;Bong Joon Ho
Sinsegye, New World;2013;2010s;South Korea;Drama;135;tt2625030;8.5;7.6;19692;nm4219902;Hoon-jung Park
Patema Inverted;2013;2010s;Japan;SciFi;98;tt2981768;8.5;7.4;7344;nm3602074;Yasuhiro Yoshiura
Universal Soldier. Day of Reckoning;2012;2010s;USA;Action;114;tt1659343;7;5;18989;nm0404882;John Hyams
Killing Them Softly;2012;2010s;USA;Horror;97;tt1764234;7;6.2;130909;nm0231596;Andrew Dominik
Chronicle;2012;2010s;USA;SciFi;89;tt1706593;7;7;236938;nm2503633;Josh Trank
Cloud Atlas;2012;2010s;USA;Drama;172;tt1371111;8;7.4;339643;nm0905152.nm0905154;Wachowski Brothers
Dredd;2012;2010s;USA;SciFi;95;tt1343727;7.5;7.1;245770;nm0871428;Pete Travis
Moonrise Kingdom;2012;2010s;USA;Comedy;94;tt1748122;7.25;7.8;310762;nm0027572;Wes Anderson
Jagten, The Hunt;2012;2010s;Denmark;Drama;115;tt2106476;8;8.3;285373;nm0899121;Thomas Vinterberg
Maniac;2012;2010s;France;Horror;89;tt2103217;7.75;6.1;34475;nm0451076;Franck Khalfoun
Django Unchained;2012;2010s;USA;Western;165;tt1853728;7.5;8.4;1321751;nm0000233;Quentin Tarantino
The Master;2012;2010s;USA;Drama;138;tt1560747;7.75;7.2;149516;nm0000759;Paul Thomas Anderson
Amour;2012;2010s;France;Drama;127;tt1602620;8;7.9;91380;nm0359734;Michael Haneke
Looper;2012;2010s;USA;SciFi;113;tt1276104;8.5;7.4;525127;nm0426059;Rian Johnson
Pieta;2012;2010s;South Korea;Drama;103;tt2299842;8.5;7.2;12666;nm1104118;Ki-duk Kim
Hugo;2011;2010s;USA;Drama;126;tt0970179;7;7.5;299021;nm0000217;Martin Scorsese
God Bless America;2011;2010s;USA;Comedy;105;tt1912398;7.25;7.2;68955;nm0001281;Bobcat Goldthwait
The Thing;2011;2010s;USA;Horror;103;tt0905372;7;6.2;122844;nm0374048;Matthijs van Heijningen
Once Upon a Time in Anatolia;2011;2010s;Turkey;Crime;157;tt1827487;7.25;7.9;43685;nm0149196;Nuri Bilge Ceylan
Margin Call;2011;2010s;USA;Thriller;107;tt1615147;7;7.1;114618;nm1170855;J.C. Chandor
Carnage;2011;2010s;France;Drama;80;tt1692486;7;7.2;120129;nm0000591;Roman Polanski
We Need to Talk About Kevin;2011;2010s;USA;Thriller;112;tt1242460;8;7.5;133932;nm0708903;Lynne Ramsay
Contagion;2011;2010s;USA;Thriller;106;tt1598778;7.75;6.7;275035;nm0001752;Steven Soderbergh
La Piel que Habito;2011;2010s;Spain;Thriller;120;tt1189073;7.75;7.6;141751;nm0000264;Pedro Almodóvar
Melancholia;2011;2010s;Denmark;Drama;135;tt1527186;8;7.2;164012;nm0001885;Lars von Trier
Midnight in Paris;2011;2010s;France;Comedy;96;tt1605783;7.5;7.7;390492;nm0000095;Woody Allen
Intouchables;2011;2010s;France;Drama;112;tt1675434;8;8.5;738750;nm0619923;Olivier Nakache
Killer Joe;2011;2010s;USA;Thriller;102;tt1726669;8;6.7;71365;nm0001243;William Friedkin
Harakiri;2011;2010s;Japan;Samurai;128;tt1728196;9;7.3;7290;nm0586281;Takashi Miike
Drive;2011;2010s;USA;Action;100;tt0780504;7.75;7.8;557115;nm0716347;Nicolas Winding Refn
The Cabin in the Woods;2011;2010s;USA;Horror;95;tt1259521;7;7;367748;nm1206844;Drew Goddard
Rise of the Planet of the Apes;2011;2010s;USA;SciFi;105;tt1318514;7.5;7.6;489813;nm1012501;Rupert Wyatt
The Grey;2011;2010s;USA;Thriller;117;tt1601913;8.5;6.8;237222;nm0138620;Joe Carnahan
Super 8;2011;2010s;USA;SciFi;112;tt1650062;7;7;339506;nm0009190;J.J. Abrams
The Raid;2011;2010s;Indonesia;Action;101;tt1899353;8.5;7.6;186778;nm2153088;Gareth Evans
Tinker Tailor Soldier Spy;2011;2010s;UK;Politics;122;tt1340800;8.75;7;183253;nm0019247;Tomas Alfredson
Thurgood;2011;2010s;USA;Historical;105;tt1844811;8.75;7.8;497;nm0828623;Michael Stevens
Shutter Island;2010;2010s;USA;Drama;138;tt1130884;7;8.2;1092158;nm0000217;Martin Scorsese
The Social Network;2010;2010s;USA;Drama;120;tt1285016;7.25;7.7;655560;nm0000399;David Fincher
Insidious;2010;2010s;USA;Horror;103;tt1591095;7.25;6.8;291753;nm1490123;James Wan
Inception;2010;2010s;USA;Thriller;148;tt1375666;7.5;8.8;2090769;nm0634240;Christopher Nolan
Predators;2010;2010s;USA;Horror;107;tt1424381;7;6.4;209017;nm0030735;Nimród Antal
Outrage;2010;2010s;Japan;Thriller;109;tt1462667;7;6.8;11806;nm0001429;Takeshi Kitano
127 Hours;2010;2010s;USA;Thriller;94;tt1542344;7;7.5;341636;nm0000965;Danny Boyle
The Town;2010;2010s;USA;Crime;125;tt0840361;7;7.5;343883;nm0000255;Ben Affleck
Meek's Cutoff;2010;2010s;USA;Western;104;tt1518812;7;6.5;11905;nm0716980;Kelly Reichardt
Black Swan;2010;2010s;USA;Horror;108;tt0947798;8;8;684787;nm0004716;Darren Aronofsky
Man from Nowhere;2010;2010s;South Korea;Action;119;tt1527788;7.25;7.8;61193;nm2556572;Jeong-beom Lee
Confessions aka Kokuhaku;2010;2010s;Japan;Drama;106;tt1590089;8;7.8;34748;nm0620363;Tetsuya Nakashima
13 Assassins;2010;2010s;Japan;Samurai;141;tt1436045;8;7.6;60780;nm0586281;Takashi Miike
I Saw the Devil;2010;2010s;South Korea;Thriller;144;tt1588170;8.25;7.8;105541;nm0453518;Jee-woon Kim
The Killer Inside Me;2010;2010s;USA;Horror;109;tt0954947;7.5;6.1;32711;nm0935863;Michael Winterbottom
L'illusionniste;2010;2010s;France;Drama;90;tt0775489;7;7.5;33164;nm0158984;Sylvain Chomet
Unthinkable;2010;2010s;USA;Politics;97;tt0914863;7.5;7.1;82894;nm0429964;Gregor Jordan
Incendies;2010;2010s;Canada;Politics;131;tt1255953;8.75;8.3;141665;nm0898288;Denis Villeneuve
Triangle;2009;2000s;UK;Horror;99;tt1187064;7;6.9;100199;nm1247462;Christopher Smith
The Road;2009;2000s;USA;Dystopia;111;tt0898367;8;7.2;219299;nm0384825;John Hillcoat
Valhalla Rising;2009;2000s;Denmark;Historical;93;tt0862467;8;6.1;54716;nm0716347;Nicolas Winding Refn
Mother;2009;2000s;South Korea;Drama;129;tt1216496;9;7.8;48486;nm0094435;Bong Joon Ho
Antichrist;2009;2000s;USA;Drama;108;tt0870984;7.5;6.6;113886;nm0001885;Lars von Trier
District 9;2009;2000s;South Africa;SciFi;112;tt1136608;7.5;7.9;629311;nm0088955;Neill Blomkamp
The White Ribbon;2009;2000s;USA;Drama;144;tt1149362;7.5;7.8;67177;nm0359734;Michael Haneke
Watchmen;2009;2000s;USA;Dystopia;162;tt0409459;8.5;7.6;489748;nm0811583;Zack Snyder
Moon;2009;2000s;USA;SciFi;97;tt1182345;8.5;7.9;329036;nm1512910;Duncan Jones
Inglourious Basterds;2009;2000s;USA;War;153;tt0361748;8.5;8.3;1225885;nm0000233;Quentin Tarantino
Gran Torino;2008;2000s;USA;Drama;116;tt1205489;7.5;8.1;708580;nm0000142;Clint Eastwood
Ip Man;2008;2000s;Hong Kong;Action;106;tt1220719;7;8;214700;nm0948159;Wilson Yip
Slumdog Millionaire;2008;2000s;India;Drama;120;tt1010048;7.75;8;806230;nm0000965;Danny Boyle
Taken;2008;2000s;USA;Action;90;tt0936501;7;7.8;557162;nm0603628;Pierre Morel
Martyrs;2008;2000s;France;Horror;99;tt1029234;8;7.1;80524;nm1052791;Pascal Laugier
Let the Right One In;2008;2000s;Sweden;Horror;114;tt1139797;8;7.9;202333;nm0019247;Tomas Alfredson
Die Welle;2008;2000s;Germany;Politics;107;tt1063669;7.5;7.6;100397;nm0304541;Dennis Gansel
Adam Resurrected;2008;2000s;Germany;Drama;106;tt0479341;7.5;6.2;3922;nm0001707;Paul Schrader
In Bruges;2008;2000s;UK;Crime;107;tt0780536;7.75;7.9;395373;nm1732981;Martin McDonagh
Changeling;2008;2000s;USA;Drama;141;tt0824747;7.25;7.7;241936;nm0000142;Clint Eastwood
Nordwand;2008;2000s;Germany;Historical;126;tt0844457;7.75;7.4;14545;nm0836715;Philipp Stölzl
Synecdoche, New York;2008;2000s;USA;Drama;124;tt0383028;7.5;7.6;80515;nm0442109;Charlie Kaufman
Cloverfield;2008;2000s;USA;Horror;85;tt1060277;8.25;7;366925;nm0716257;Matt Reeves
Happy-Go-Lucky;2008;2000s;UK;Comedy;118;tt1045670;7;7;37377;nm0005139;Mike Leigh
Entre les Murs;2008;2000s;France;Drama;128;tt1068646;7.5;7.5;33610;nm0134559;Laurent Cantet
Bronson;2008;2000s;UK;Drama;92;tt1172570;8.5;7.1;117256;nm0716347;Nicolas Winding Refn
Doubt;2008;2000s;USA;Politics;104;tt0918927;8.5;7.5;119538;nm0788234;John Patrick Shanley
