Title;Year;Country;Genre;IMDB;Score;directors;primaryName
The Woman King;2022;USA;War;tt8093700;7.75;nm0697656;Gina Prince-Bythewood
Pearl;2022;USA;Horror;tt18925334;7.25;nm1488800;Ti West
The Stranger;2022;Australia;Crime;tt11897478;7.25;nm0942876;Thomas M. Wright
What Josiah Saw;2021;USA;Horror;tt3097396;7;nm1159083;Vincent Grashaw 
Blonde;2022;USA;Drama;tt1655389;8;nm0231596;Andrew Dominik
Terrifier 2;2022;USA;Horror;tt10403420;8;nm2093171;Damien Leone
Halloween Ends;2022;USA;Horror;tt10665342;7;nm0337773;David Gordon Green
Hellraiser;2022;USA;Horror;tt0887261;7;nm1410159;David Bruckner
DeadStream;2022;USA;Horror;tt12788488;7.25;nm3234892;Joseph Winter
Fresh;2022;USA;Horror;tt13403046;7;nm6470216;Mimi Cave
The Worst Person in the World;2021;Norway;Drama;tt10370710;7;nm1258686;Joachim Trier
Vesper;2021;France;SciFi;tt20225374;7.75;nm3043504;Kristina Buozyte
Spencer;2021;UK;Drama;tt12536294;8;nm1883257;Pablo Larraín
Pleasure;2021;Sweden;Drama;tt8550054;8;nm5679126;Ninja Thyberg
Top Gun: Maverick;2022;USA;Action;tt1745960;8;nm2676052;Joseph Kosinski
Rise Roar Revolt;2022;India;Action;tt8178634;9;nm1442514;S.S. Rajamouli
The Kashmir Files;2022;India;Politics;tt10811166;8.25;nm1892252;Vivek Agnihotri
Athena;2022;France;Politics;tt15445056;8;nm0310615;Romain Gavras
Saloum;2022;Senegal;Horror;tt10756184;7.5;nm2699094;Jean Luc Herbulot 
Bodies Bodies Bodies;2022;USA;Comedy;tt8110652;7.5;nm0717603;Halina Reijn
Speak no Evil;2022;Denmark;Horror;tt14253846;7.75;nm0846369;Christian Tafdrup
3000 Years of Longing;2022;Australia;Fantasy;tt9198364;8.75;nm0004306;George Miller
The Cathedral;2021;USA;Drama;tt13658076;7;nm4818880;Ricky D'Ambrose
Jai Bhim;2021;India;Politics;tt15097216;8.5;nm4377096;T.J. Gnanavel
Fall;2022;USA;Thriller;tt15325794;7;nm1470993;Scott Mann
Resurrection;2022;USA;Horror;tt11540726;7.5;nm1187064;Andrew Semans 
Hit the Road;2021;Iran;Drama;tt14812782;8.25;nm9824984;Panah Panahi
Broker;2022;South Korea;Drama;tt13056052;7;nm0466153;Hirokazu Koreeda
Great Freedom;2021;Germany;Drama;tt14775784;8;nm2098964;Sebastian Meise
Vortex;2021;France;Drama;tt14821150;7.5;nm0637615;Gaspar Noé
Nope;2022;USA;Horror;tt10954984;8;nm1443502;Jordan Peele
Decision to Leave;2022;South Korea;Crime;tt12477480;7.25;nm0661791;Chan-wook Park
Bull;2021;UK;Thriller;tt13266998;7.75;nm1440314;Paul Andrew Williams
Prey;2022;USA;Action;tt11866324;7.75;tt11866324;Dan Trachtenberg
The Book of Fish;2021;South Korea;Drama;tt14371900;7.5;nm1045937;Joon-ik Lee
The Black Phone;2021;USA;Horror;tt7144666;7.75;nm0220600;Scott Derrickson
Men;2022;UK;Horror;tt13841850;7;nm0307497;Alex Garland
Crimes of the Future;2022;USA;SciFi;tt14549466;7.25;nm0000343;David Cronenberg
Everything Everywhere All at Once;2022;USA;Action;tt6710474;7.5;nm3453283;Dan Kwan
The Sadness;2021;Taiwan;Horror;tt13872248;7.5;nm5983101;Rob Jabbaz
You Won't Be Alone;2022;Serbia;Horror;tt8296030;7.75;nm3301836;Goran Stolevski
The Northman;2022;USA;Action;tt11138512;8.25;nm3211470;Robert Eggers
The Batman;2022;USA;Action;tt1877830;7.75;nm0716257;Matt Reeves
Against the Ice;2022;Denmark;Historical;tt13873302;7.5;nm0282425;Peter Flinth
X;2022;USA;Horror;tt13560574;7.75;nm1488800;Ti West
You Are Not My Mother;2021;Ireland;Horror;tt10406596;7;nm3951005;Kate Dolan
After Yang;2021;USA;SciFi;tt8633464;7.75;nm3226379;Kogonada
Madres Paralelas;2021;Spain;Drama;tt12618926;7.75;nm0000264;Pedro Almodóvar
Licorice Pizza;2021;USA;Drama;tt11271038;7;nm0000759;Paul Thomas Anderson
Flee;2021;Denmark;Drama;tt8430054;8;nm1853542;Jonas Poher Rasmussen 
È Stata la Mano di Dio;2021;Italy;Drama;tt12680684;8.25;nm0815204;Paolo Sorrentino
Nightmare Alley;2021;USA;Thriller;tt7740496;7.5;nm0868219;Guillermo del Toro
A Hero;2021;Iran;Drama;tt11777738;8.25;nm1410815;Asghar Farhadi
Wheel of Fortune and Fantasy;2021;Japan;Drama;tt14034966;8;nm3152327;Ryûsuke Hamaguchi
Drive my Car;2021;Japan;Drama;tt14039582;9;nm3152327;Ryûsuke Hamaguchi
The Tragedy of Macbeth;2021;USA;Drama;tt10095582;7.75;nm0001054;Joel Coen
The Innocents;2021;Norway;Horror;tt4028464;7.25;nm1258777;Eskil Vogt
Being the Ricardos;2021;USA;Drama;tt4995540;7.5;nm0815070;Aaron Sorkin
The Power of the Dog;2021;UK;Drama;tt10293406;7.5;nm0001005;Jane Campion
Belfast;2021;UK;Drama;tt12789558;8.5;nm0000110;Kenneth Branagh
C'mon C'mon;2021;USA;Drama;tt10986222;8.25;nm0590122;Mike Mills
The Mauritanian;2021;UK;Politics;tt4761112;8;nm0531817;Kevin Macdonald
The French Dispatch;2021;USA;Comedy;tt8847712;7.25;nm0027572;Wes Anderson
Don't Look Up;2021;USA;Comedy;tt11286314;7.75;nm0570912;Adam McKay
Antlers;2021;USA;Horror;tt7740510;7.5;nm0178376;Scott Cooper
Benedetta;2021;France;Historical;tt6823148;7.5;nm0000682;Paul Verhoeven
The Last Duel;2021;USA;Historical;tt4244994;7.75;nm0000631;Ridley Scott
Last Night in Soho;2021;UK;Horror;tt9639470;7.5;nm0942367;Edgar Wright
Titane;2021;France;Horror;tt10944760;7.75;nm4469445;Julia Ducournau
Dune;2021;USA;SciFi;tt1160419;9.25;nm0898288;Denis Villeneuve
The Card Counter;2021;USA;Drama;tt11196036;8;nm0001707;Paul Schrader
Free Guy;2021;USA;Comedy;tt6264654;7.75;nm0506613;Shawn Levy
